formation,quels enseignements vous semblent les plus utiles pour l'exercice de votre metier et votre insertion professionnelle ?
Mecanique et Interactions (MI),Tres complexe de repondre cela depend essentiellement du projet professionnel que l'on a et le domaine dans lequel l'on exerce.
Mecanique et Interactions (MI),MMC & MSG MEF vibration RDM gestion de projet communication  conception.
Mecanique et Interactions (MI),La MEF et la mecanique des fluides
Mecanique et Interactions (MI),Mecanique des milieux continus.
Sciences et Technologies de l'Eau (STE),l'Hydrologie l'Hydraulique ainsi que la mecanique des fluides et tous les logiciels associees.
Mecanique et Interactions (MI),Les enseignements techniques pour ma part notamment de conception mecanique et egalement la gestion de projet (cours au S9)
Mecanique et Interactions (MI),Methode des Elements Finis
Mecanique et Interactions (MI),Simulation numerique Mecanique des milieux continus Maths
Sciences et Technologies de l'Eau (STE),N'ayant pas exerce le metier d'ingenieur les stages ont ete le plus utiles. Ils offrent des premieres experiences professionnelles/experiences a l'etranger qui peuvent facilement etre valorisees en entretien d'embauche et permettent d'etre familier avec le monde du travail.
Mecanique et Interactions (MI),Programmation scientifique 
Mecanique et Interactions (MI),Mathematiques informatique optimisation
Materiaux (MAT),Eco-conception 
Materiaux (MAT),management de la qualite  Management de projet  mecanique  anglais
Materiaux (MAT),Les enseignements sur les materiaux ceux sur l'eco conception et egalement les bases scientifiques en premiere annee 
Informatique et Gestion (IG),Algorithmique Agile SAFe Ingenierie des Applications Web Cloud (Azure AWS)/DevOps (Docker Kubernetes Jenkins...)
Materiaux (MAT),Actuellement les seuls enseignements vraiment utile dans mon metier actuel et mon insertion professionnelle sont les cours d'anglais. Je n'ai pas vraiment eu a utiliser de competences liees aux materiaux a l'heure actuelle.
Materiaux (MAT),Les differents projets les enseignements sur les materiaux.
Genie Biologique et Agroalimentaires (GBA),Communication / matiere cible sur la science de l'alimentaire / projet d'ecole 
Materiaux (MAT),L'anglais mais en meme temps je ne fais rien de techniques donc mon avis importe peu la dessus
Systemes Embarques (SE - apprentissage),Programmation Traitement de l'information Conception des usages - IoT Gestion de projet
Materiaux (MAT),Les TP (surtout TP MASC) qui m'ont formes a utiliser de nombreuses machine et technique sur lesquelles je travaille couramment
Microelectronique Et Automatique (MEA),Stage de 5e annee 
Microelectronique Et Automatique (MEA),Cours de langues Commande en 3D perception
Eau et Genie Civil (EGC - apprentissage),GEOTECH  MATH  GESTION DE PATRIMOINE 
Informatique et Gestion (IG),Honnetement la plupart de mes cours m'ont ete utiles les cours d'insertion pro etaient particulierement utiles pour mettre en place son CV/LinkedIn et une strategie de recherche
Systemes Embarques (SE - apprentissage),Programmation Base de l'electronique 
Systemes Embarques (SE - apprentissage),programmation C/C++ reseau conception de carte electronique
Microelectronique Et Automatique (MEA),Les cours de reseau / programmation
Sciences et Technologies de l'Eau (STE),Maitrise d'&oeliguvre 
Sciences et Technologies de l'Eau (STE),Pour mon stage : mes connaissances en hydraulique hydrologie et la connaissance des logiciels
Sciences et Technologies de l'Eau (STE),Les sorties terrain et experiences pratiques
Materiaux (MAT),Acv ecoconception projet 
Sciences et Technologies de l'Eau (STE),Insertion Pro
Sciences et Technologies de l'Eau (STE),genie des procedes
Eau et Genie Civil (EGC - apprentissage),Les cours lies a la gestion de chantier
Eau et Genie Civil (EGC - apprentissage),Gestion de projet
Genie Biologique et Agroalimentaires (GBA),Qualite  Projets (tous en general)  Nutrition 
Informatique et Gestion (IG),L'apprentissage des design pattern et de la  bonne maniere de coder  independamment du langage. 
Informatique et Gestion (IG),Projet industrielle 
Mecanique et Interactions (MI),Thermodynamique mecanique des fluides mecanique generale conception (projets)
Genie Biologique et Agroalimentaires (GBA),Marketing Commerce  Packaging (je m'occupe egalement un peu avec la responsable R&D de cette partie)
Genie Biologique et Agroalimentaires (GBA),Management de projet
Genie Biologique et Agroalimentaires (GBA),Tout 
