formation,annee obtention du diplome,vos remarques et commentaires relatifs a votre insertion professionnelle
Mecanique et Interactions (MI),2022,Je ne pense pas avoir de grosses difficultes a trouver un emploi me correspondant a la suite ma formation.
Mecanique et Interactions (MI),2022,Je realise actuellement le mastere specialise Developpement des systemes spatiaux je trouve qu'il n'y avait que tres peu d'informations a son sujet lorsque j'etais encore en ecole
Materiaux (MAT),2021,J'ai pas ete beaucoup conseillee dans mes choix. Et mon semestre a l'etranger malgre un dossier en beton pour pouvoir me specialiser dans le medical n'a pas ete accepte. Et l'ecole ne m'a pas donne d'alternatives. C'est dommage
Materiaux (MAT),2022,Dans mon cas j'ai souhaite faire un master specialise en gestion de projet et cela a ete relativement simple d'integrer celui de Skema. De plus je pense qu'il est plus simple de trouver une alternance qu'un premier emploi.
Materiaux (MAT),2020,Facilitee par le fait que mon directeur de these connaissait certains de mes enseignant (ce que je ne savais pas au moment de postuler)
Microelectronique Et Automatique (MEA),2021,L'orientation des etudes peut combiner plusieurs domaines pour faciliter le developpement futur. Toutefois l'orientation et le plan de carriere reellement souhaites doivent etre clarifies a l'avance.
Systemes Embarques (SE - apprentissage),2021,Ayant fait une alternance dans le domaine des bancs de test j'ai peu de proposition pour du systeme embarque du au manque d'experience. De plus je recherche un emploi plus porte vers la programmation.
Systemes Embarques (SE - apprentissage),2021,bougez votre cul toutes les entreprises cherches des ingenieurs mais pensez pas gagner 50k au debut
Eau et Genie Civil (EGC - apprentissage),2021,L'apprentissage permet de rentrer dans le monde du travail plus facilement.
Informatique et Gestion (IG),2020,polytech m'a fournit les clefs principale pour reussir et je me suis tres bien integree dans mon entreprise 
Mecanique et Interactions (MI),2022,Uniquement pour la filiere MI : Filiere trop theorique et orientee vers la formation de futurs Thesards du LMGC ou du LIRMM cela commence a se voir... Enormement de potentiel dans la formation d'ingenieurs mecanique generalistes  avec l'esprit ' interactions ' :  il faut entrer plus en phase avec l'industrie a travers des projets en autonomie et des nombreuses interventions de professionnels.  Arreter d'imposer des matieres anciennement en option (Robotique / Biomecanique ). Proposer des specialisations qui permettront soit d'aller plus loin (robotique) soit de prendre du temps pour des prerequis (biomecanique).  Eventuellement reduire le nombre d'UE mais prendre le temps de laisser plus d'autonomie aux eleves.  Reellement prendre en compte de retour d'experience des 5A concernant la qualite des enseignements.  Proposer un accompagnement concret au cours des stages sans changement de tuteur.  
Genie Biologique et Agroalimentaires (GBA),2020,Etant partie dans la partie commerce apres un stage en R&D dans la meme entreprise j'ai appris que la formation apprenait a reflechir a penser differemment a avoir de vraie valeur et avec ce bagage n'importe quel metier est accessible tant qu'on s'en donne les moyens et qu'on y croit meme si la formation ne correspond pas directement a ce que l'on veut faire. Quelques cours a l'IAE disponible en option apres les cours pourraient etre un vrai plus. 
Genie Biologique et Agroalimentaires (GBA),2022,Je suis tres contente
Genie Biologique et Agroalimentaires (GBA),2021,Rapidement trouve 
Genie Biologique et Agroalimentaires (GBA),2021,D'abord j'ai essaye de travailler dans la RetD en cosmetique. ca a ete tres dur et n'a rien donne. C'est surement le secteur qui veut ca et non le diplome. Pour les entreprises de conseil il n'y a cependant aucun problemes. 
Informatique et Gestion (IG),2022,Merci aux professeurs d'etre reste a l'ecoute des etudiants a l'etranger pour leurs conseils et leur aide
Genie Biologique et Agroalimentaires (GBA),2021,Mon insertion s'est tres bien passee je n'ai pas eu a chercher mon premier emploi et j'ai reussi en quelques mois a trouver un tres bon poste dans le pays de mon choix la Russie tout ce que je voulais.  
Genie Biologique et Agroalimentaires (GBA),2021,Insertion facilite par la realisation d'un contrat de profesionnalisation. L'autonomie et la force de proposition sont 2 competences fortement demandees dans les petites entreprises
Genie Biologique et Agroalimentaires (GBA),2021,Je n'ai pas particulierement de remarque dans mon cas j'ai eu de la reussite et j'en suis tres reconnaissante. J'en profite pour remercier tous les acteurs de la formation GBA et de Polytech!
Genie Biologique et Agroalimentaires (GBA),2020,Tres bonne insertion professionnelle  Professeurs a l'ecoute 
Mecanique et Interactions (MI),2022,Merci de m'avoir donne l'opportunite de completer ma formation au Canada. 
Systemes Embarques (SE - apprentissage),2020,Tout c'est tres bien deroule meme si le depart peut etre parfois complique tout se remonte 
Informatique et Gestion (IG),2022,Elle a ete parfaitement realisee. Je n'aurai jamais imagine faire mieux
Genie Biologique et Agroalimentaires (GBA),2021,Ras
Mecanique et Interactions (MI),2022,Commencer a chercher tot. Ne pas hesiter a etre insistant pour obtenir des reponses. Developper son reseau Linkedin au maximum.
