formation,"parmi les enseignements fournis par l'ecole, quels sont ceux qui meriteraient d'etre approfondis ou renforces ?"
Mecanique et Interactions (MI),L'integralite ou presque meriteraient d'etre approfondis par le biais de Travaux Pratiques
Mecanique et Interactions (MI),RDM
Mecanique et Interactions (MI),Plus de travaux et projets manuels moins theorique !
Mecanique et Interactions (MI),Des projets de groupes plus presents. Et voir une plus grande diversite de logiciels employes dans l'industrie.
Mecanique et Interactions (MI),Cours sur Ansys logiciel tres utilise
Sciences et Technologies de l'Eau (STE),Plusieurs logiciels de modelisation hydraulique 2D
Mecanique et Interactions (MI),Gestion de projet et CAO
Mecanique et Interactions (MI),Conception
Mecanique et Interactions (MI),Informatique !!! Et maths ca s'est malheureusement arrete en 3eme annee
Materiaux (MAT),Conception mecanique / dessin industriel 
Materiaux (MAT),La resistance des materiaux l'apprentissage l'utilisation de logiciels d'eco conception (GaBi SimaPro) et les enseignements d'entrepreneuriat en derniere annee 
Informatique et Gestion (IG),Qualite logicielle Cloud DevOps
Materiaux (MAT),Les cours de RdM meriteraient d'etre renforces ou mieux expliques.
Materiaux (MAT),L'utilisation de logiciels de gestion de projet (particulierement MS Project) l'approfondissement de prise en main d'Excel.
Genie Biologique et Agroalimentaires (GBA),Enseignement qui developpe une posture pour pretendre a des potes de manger cours de management outil d'amelioration continue 
Materiaux (MAT),Le management et la gestion d'une equipe 
Systemes Embarques (SE - apprentissage),Traitement de l'information
Materiaux (MAT),L'anglais  meme si je ne sais pas comment il pourrait etre ameliore. Il me semble que c'est le seul atout primordial pour toutes les branches professionnelles peu importe notre section. 
Microelectronique Et Automatique (MEA),Droit du travail
Informatique et Gestion (IG),La plupart des technologies etudiees pourraient etre modernisees
Systemes Embarques (SE - apprentissage),c/c++ FPGA tres important de plus en plus
Microelectronique Et Automatique (MEA),Les cours de developpement C++ (POO) en MEA sont obsoletes et ne forment absolument pas aux competences attendues par l'industrie du developpement informatique. Il est inacceptable d'etre formes a du C++98 en 2023. Sans un re-apprentissage parallele nous n'avons pas les connaissances pour repondre aux questions les plus elementaires des tests techniques poses par les employeurs (pourtant d'une facilite deconcertante). De nombreuses mauvaises pratiques sont enseignees qui  risquent d'etre redhibitoires en entretien d'embauche si elles sont revelees par le candidat.  J'aurais le plaisir de vous assister dans la mise a niveau de ce module de formation si vous faites appel a moi.
Sciences et Technologies de l'Eau (STE),Qgis Logiciels en general
Sciences et Technologies de l'Eau (STE),Les logiciels utilises par les entreprises lors des recrutements sela parait important 
Sciences et Technologies de l'Eau (STE),Les cours de modelisation hydraulique (assainissement et eau potable) 
Materiaux (MAT),Acv
Sciences et Technologies de l'Eau (STE),Les specialites en quatrieme annee. Le probleme que je retrouve principalement dans la recherche d'emploi est le manque d'approfondissement dans chacun des domaines. 
Eau et Genie Civil (EGC - apprentissage),Les cours lies a la gestion de chantier
Eau et Genie Civil (EGC - apprentissage),Utilisation des logiciels (Autocad/Project/...)
Microelectronique Et Automatique (MEA),Programming in Python.  L'atelier de creation d'entreprise. Not always taken seriously by MEA (because not a scientific stuff).  
Informatique et Gestion (IG),Tout ce qui est lie au devops
Mecanique et Interactions (MI),Projets de conception complets Simulation thermique dynamique Gestion de projet Droit des affaires comptabilite echanges avec des professionnels.
Materiaux (MAT),Politique RSE Developpement durable Cours de production
Genie Biologique et Agroalimentaires (GBA),Rien de particulier. La formation est complete et permet de s'ouvrir a beaucoup d'univers different. Peut etre quelques cours de creation d'entreprises appliques a l'hotel agroalimentaires avec une mise en situation (comme un petit ecotrophelia sur une semaine) comme nous avions fait avec l'ensemble des autres sections de polytech.
Genie Biologique et Agroalimentaires (GBA),La maitrise des outils de bureautique ( a approfondir)   Methode lean etc ( car ca sert dans tous les domaines que ce soit production qualite maintenance etc)  
Genie Biologique et Agroalimentaires (GBA),Gestion de projet : il faut en faire plus.
Informatique et Gestion (IG),On ne peut pas tout apprendre j'ai beaucoup appris de choses en entreprise qu'on n'avait pas fait en cours. En revanche il ne me manquait aucune base importante donc je dirais que rien ne manque.
Genie Biologique et Agroalimentaires (GBA),Management & soft skills 
Genie Biologique et Agroalimentaires (GBA),Plus de matieres au niveau genie biologique qui est beaucoup moins approfondie et pousse par rapport a l'agroalimentaire. 
Genie Biologique et Agroalimentaires (GBA),L'utilisation d'un ERP   Lean Management : 5S 5M
Genie Biologique et Agroalimentaires (GBA),La biochimie et les enseignements en lien avec l'analytique.
Mecanique et Interactions (MI),Tous les enseignements lies a la conception mecanique avec plus de sujet pratique 
Genie Biologique et Agroalimentaires (GBA),Communication utilisation de l'ERP meme pour les ITOI
Genie Biologique et Agroalimentaires (GBA),La microbiologie et globalement toute la partie  genie biologique  dans GBA
Genie Biologique et Agroalimentaires (GBA),Management  Gestion du temps Gestion de projet
Informatique et Gestion (IG),Devs web et dev ops.
Genie Biologique et Agroalimentaires (GBA),Gestion et developpement d'un projet - les etapes cles  Une partie budget ? 
Mecanique et Interactions (MI),Impossible de repondre cela depend des choix personnels de chacun des eleves. 
Informatique et Gestion (IG),L'aspect pratique des choses dans toutes les matieres
Genie Biologique et Agroalimentaires (GBA),Ras
Mecanique et Interactions (MI),La simulation numerique appliquee (logiciels plus utilises dans l'industrie : abaqus ansys starccm catia etc)
Microelectronique Et Automatique (MEA),Business et gestion
Eau et Genie Civil (EGC - apprentissage),Cours de travaux -> trop succinct au vue du grand nombre de personnes qui font des travaux.
Eau et Genie Civil (EGC - apprentissage),genie civil monde professionnel
Mecanique et Interactions (MI),Les enseignements qui concernent la simulation numerique. 
Eau et Genie Civil (EGC - apprentissage),Maintenance des ouvrages pathologies des betons. 
Materiaux (MAT),ACV eco-conception
Informatique et Gestion (IG),Avoir une notion un peu plus approfondie sur la partie DevOps (comment heberger son application les bonnes pratiques les outils existants les technologies ...). Le cours IDO etait super interessant mais peut etre un peu trop theorique. Peut etre qu'avoir quelques cours supplementaire (orientes sur la pratique) aiderait a appliquer ces notions sur le projet IWA par exemple. 
Eau et Genie Civil (EGC - apprentissage),/
Mecanique Structures Industrielles (MSI - apprentissage),La Rdm. Il faudrait approfondir les calculs selon les eurocodes. 
Informatique et Gestion (IG),Anglais
Eau et Genie Civil (EGC - apprentissage),Marche publique et fonctionnement d'une MOE ou MOA
Informatique et Gestion (IG),Test / securite / accentuer les methodes AGILES moderne
Informatique et Gestion (IG),Machine Learning and Data Mining Data Science avancee
Eau et Genie Civil (EGC - apprentissage),Traitement de l'eau Geotechnique Utilisation des logiciels
Eau et Genie Civil (EGC - apprentissage),SIG modelisation hydraulique. 
Mecanique et Interactions (MI),Les langues
Systemes Embarques (SE - apprentissage),RAS
Microelectronique Et Automatique (MEA),Informatique (plus developpement Web) gestion projet informatique (agilite scrum...) 
Microelectronique Et Automatique (MEA),Gestion
Materiaux (MAT),L'utilisation de logiciel informatique CAO
Eau et Genie Civil (EGC - apprentissage),Enseignement de chantier organisation deroulement du chantier partie MOE et ENTREPRISE GENIE CIVIL / BETON ARME methodologie et contenu a revoir et mieux adapter au niveau global de la classe  MECANIQUE 
Eau et Genie Civil (EGC - apprentissage),GC
Materiaux (MAT),- la vision industrielle avoir des problematiques plus concretes que l'on pourrait retrouver dans la vie professionnelle. 
Materiaux (MAT),Etude de cas: plusieurs problematiques rencontrees dans notre societe. C'etait un peu le cas du projet d'ecoconception. Mais il pourrait etre un peu plus approfondie. Etudes de techniques utiles pour la caracterisation des materiaux mais avec plus d'exemples surtout avec une explication claire de c'est qu'on peut apprendre sur ca. (Non juste la partie theorique) c'est tres complique a comprendre juste avec la connaissance theorique.
Genie Biologique et Agroalimentaires (GBA),Pas forcement approfondir un enseignement mais davantage parler de la transition ecologique et comment on peut agir a notre echelle d'ingenieur agroalimentaire.   
Genie Biologique et Agroalimentaires (GBA),Management
