formation,quels conseils pourriez-vous donner aux etudiants actuellement en formation pour bien choisir leur stage de fin d'etude ? reussir leur insertion professionnelle ?
Microelectronique Et Automatique (MEA),Choisissez quelque chose qui vous plait. Ne vous focalisez pas sur les competences necessaires listees par les recruteurs sur les offres d'emplois il y en a trop de toute facon. Et puis finalement faites vous un bon CV/lettre de motivation et envoyez-le a un maximum d'entreprises pour augmenter vos chances de decrocher un entretien (changer un peu le debut pour vous adressez a l'entreprise en question et la fin pour parler de votre potentiel role dans l'entreprise). Mais c'est l'entretien le plus important de toute facon.  Meme si les entreprises/SSII contactees n'ont pas de travail pour vous elles sauront vous retrouver le jour ou ca sera le cas. ca permet aussi de vous faire grossir votre reseau sur Linkedin.  Sinon ne faites pas les meme erreurs que moi: - Ne pas se dire 'j'ai pas assez de competences par rapport a ce qu'on demande sur l'offre donc je postule pas'. C'est faux. L'entreprise peut etre interesse par votre CV puis par le resultat de l'entretien meme si votre parcours est different. - Ne pas attendre 2-3 mois avant de postuler 'serieusement'. Il faut postuler serieusement des le debut. Donc repondre a 2-3 offres par jour. - Ne pas se focaliser sur une offre (et se relaxer sur les autres) lorsqu'elle 'commence' a porter ces fruits. Avoir un entretien avec un client c'est bien. Mais c'est pas forcement suffisant. Puis en ayant d'autres futurs entretiens sous le coude on peut mettre un peu plus de pression sur le premier. - Ne pas se limiter a Montpellier pour du systeme embarque car la concurrence est rude. Parmi les villes avec de l'emploi en SE il y a principalement Paris Lyon Toulouse Aix en Provence (pour ceux qui veulent rester au Sud). En revanche a Montpellier il y a beaucoup d'offres en developpement web.
Microelectronique Et Automatique (MEA),Trouvez un truc qui vous plait et preparez vous un minimum pour l'entretien si besoin est. Et ne cherchez pas (geographiquement) a trop rester dans votre zone de confort. On a toujours le temps d'y revenir plus tard.
Microelectronique Et Automatique (MEA),Pour eviter de tomber dans des stages tres moyens ne pas hesiter a se deplacer pour voir les locaux l'equipe ainsi que le projet sur lequel vous allez travailler. Cela permet vite de se rendre compte des differences possibles entre un discours et la realite.
Microelectronique Et Automatique (MEA),Faire un stage qui leur plaisent en faisant abstraction du lieu le plus possible. 
Microelectronique Et Automatique (MEA),etre passionne 
Microelectronique Et Automatique (MEA),1) Faire une recherche sur soi-meme et savoir qu'est ce qui nous attire et ou l'on veut travailler dans quel environnement... passer le plus de temps possible a cette etape. Faire cela en 3ieme annee voir debut 4ieme. Affiner au fur et a mesure.  2) Etre responsable pro-actif. Arretez d'attendre que le monde vous apporte des solutions aller les cherchez vous meme. Chercher des stages dans un domaine qui semble vous plaire en AVANCE pour avoir le maximum de chance et ne rien regretter pour avoir le choix.  Ensuite meme si le domaine ne vous plait pas le prendre en compte et affiner ses choix et envies pour la suite.  3) Etre perseverant c'est vous qui creer votre vision et realite du monde. Apprendre tous les jours se concentrer sur les choses qui vous apporte quelque chose sur le long terme. Profiter du temps libre pour tester et apprendre pleins de choses.   
Informatique et Gestion (IG),PRENDRE UN STAGE ENRICHISSANT SUR LE PLAN PRO
Informatique et Gestion (IG),Ne pas se limiter a faire ce que font tous les autres Si on a le temps et les moyens il vaut mieux essayer d'avoir un boulot qui nous donne envie que de suivre les autres a faire directement une societe de service sans savoir ce qu'on veut faire et se retrouver a un poste qui nous plait pas Et ce n'est pas parce que l'on est mal classe dans la promo qu'on ne peut pas avoir un poste qui nous plait directement en sortant de l'ecole 
Informatique et Gestion (IG),choisir en premier lieu l'entreprise puis ensuite le poste
Informatique et Gestion (IG),Ne pas se precipiter. En Informatique il y a beaucoup de propositions de stage on peut se permettre de refuser une proposition pour en choisir une autre. Ne pas se contenter de la premiere offre de stage pour laquelle on nous dit 'oui' !
