formation,"quels enseignements, absents de votre formation, vous auraient ete utiles ?"
Mecanique et Interactions (MI),Projets manuels ou on developpe et prototype nous meme un produit par exemple
Mecanique et Interactions (MI),Des presentations de logiciels et d'applications concretes en industrie.
Mecanique et Interactions (MI),Cours sur Catia
Sciences et Technologies de l'Eau (STE),Logiciel de dessins industriels ( Autocad/Civil 3Detc...
Mecanique et Interactions (MI),Formation sur les risques industriels visite d'usines/site de production
Mecanique et Interactions (MI),Informatique machine learning
Materiaux (MAT),Qualite ISO13485  dessin industriel  production 
Materiaux (MAT),Peut-etre des enseignements specialises sur l'utilisation des outils office
Genie Biologique et Agroalimentaires (GBA),Cours de management technique de management 
Materiaux (MAT),Un approche commercial
Systemes Embarques (SE - apprentissage),Securite en informatique & IoT
Materiaux (MAT),Je ne peux pas dire je n'ai ete qu'un an et demi reellement en cours a Montpellier (double diplome)
Microelectronique Et Automatique (MEA),chaine de blocsi14Y
Informatique et Gestion (IG),Des outils et technologies modernes comme Kubernetes ou des providers cloud a l'image des cours donnes en DO
Systemes Embarques (SE - apprentissage),Programmation haut niveau (peut etre etudier rapidement phyton) Faire un peu de test et validation
Systemes Embarques (SE - apprentissage),programmation sous carte nvidia pour AI
Sciences et Technologies de l'Eau (STE),Une presentation des metiers et des debouches possible en debut de cursus 
Materiaux (MAT),Microelectronique 
Sciences et Technologies de l'Eau (STE),Je ne pense pas qu'il manque d'enseignement.
Sciences et Technologies de l'Eau (STE),Un peu plus de simulation numerique des procedes
Eau et Genie Civil (EGC - apprentissage),Les cours lies a la gestion de chantier
Eau et Genie Civil (EGC - apprentissage),Gestion financiere d'un projet
Microelectronique Et Automatique (MEA),Universal Verification Methodology (UVM). But not easy thing. RTL coding Design + Verification flow : From specification to verified block.  --------------------------------------------------------------------------------------- Global overview on financial life of an engineer : - Salary they can expect to have at career start & in 10 years & in 20 years  - How much taxes they have to pay - What kind of contract exists (with advantages/limitations for each kind). Not only CDI/CDD but also INTERIM VIE Freelance Portage Salarial... - How taxes are calculated (if alone / married with children...) & how to save as much taxes as possible. - Different possibilities to save money (livrets PEE/PERCO PER ...) - Different ways to invest money (PEA CT SCPI CrowdFunding ICO IDO ...) - Ramp up on technologies as Blockchain/ Crypto IA ...  All of this can be done in 2 or 3 courses from an external expert. Do it before the 'Atelier sur la creation d'entreprise'.  ---------------------------------------------------------------------------------------- PUBLIC SPEECH ABILITY We are ALWAYS doing presentations speechifying about projects etc BUT in MEA we never teach how to do it. So I would add: - How to present a product with EFFICIENCY FLUENCY & EMOTIONS. - How to argue & debate. - How to create a REAL powerpoint presentation.  Same thing expert intervention. 
Informatique et Gestion (IG),Plus de notions lies aux devops aux platform Google et aws a la CI. C'est vu tellement rapidement que ce n'est pas vu. 
Informatique et Gestion (IG),Enseignement sur les outil et pratique de qualite de code 
Mecanique et Interactions (MI),Genie climatique / Genie energetique / Genie electrique
Materiaux (MAT),Electronique 
Genie Biologique et Agroalimentaires (GBA),Logistique   Peut etre la possibilite de faire des cours a l'IAE (pour ceux qui veulent partir dans la creation d'entreprise et le commerce) des la 4eme/5eme annee 
Genie Biologique et Agroalimentaires (GBA),Le droit du travail 
Informatique et Gestion (IG),- Decouverte de React-Native-Web (framework JavaScript pour developper une seule application pour les deux OS mobile et pour le web) - Avoir plus d'informations pour l'utilisation de Poly+ et les procedures de stage a l'etranger (mais les professeurs ont
Genie Biologique et Agroalimentaires (GBA),Des formations de BPF pour le milieu pharmaceutique ainsi que des formation de communication avec les clients et du management de personne
Genie Biologique et Agroalimentaires (GBA),Une overview des differentes sites d'information scientifique internationaux des banques de donnees etc. Pour savoir ou chercher l'information soi-meme plus tard. 
Genie Biologique et Agroalimentaires (GBA),Je n'ai pas vraiment d'exemple concret car les enseignements de la formations sont tres varies peut-etre plus de cours ou plutot d'interventions en lien avec les innovations recentes dans le monde le l'industrie ou de la recherche pour renforcer notre 'culture generale' ou des interventions pour aider a forger notre projet professionnel sur le monde de l'entreprenariat par exemple.
Mecanique et Interactions (MI),Hydraulique et electronique
