formation,"quels enseignements, presents dans votre formation, vous paraissent inutiles ?"
Mecanique et Interactions (MI),Eco-Conception (le pire cours : approximatif a la limite du climato-scepticisme a 15 ans de retard sur son temps) robotique (pas necessairement inutile mais peut-etre serait plus adapte en tant qu'option) Allemand (Soit il faut + de cours soit il faut arreter car l'entre deux actuel ne permet pas de progresser en langue)  Economie (Cours politiquement oriente et beaucoup trop eloigne des enjeux environnementaux).
Mecanique et Interactions (MI),tout a ete utile je pense
Mecanique et Interactions (MI),Aucun
Sciences et Technologies de l'Eau (STE),Aucun ( tous peuvent etre utile meme si certains ne le sont pas pour moi pour le moment).
Materiaux (MAT),Tous les enseignements me servent  mais pas directement 
Materiaux (MAT),Tout est plus ou moins utile 
Materiaux (MAT),Pour les gens en branche de 'chimistes' tous les enseignements lie a la CAO sont un peu inutiles mais bon il est interessant quand meme de savoir etre polyvalent
Materiaux (MAT),Aucuns meme si le droit entre autre peu paraitre inutile pour notre travail ca reste une base culture G interessante et probablement utile pour certains
Microelectronique Et Automatique (MEA),rien
Informatique et Gestion (IG),Controverse
Systemes Embarques (SE - apprentissage),Theorie des graphes 
Systemes Embarques (SE - apprentissage),les normes
Materiaux (MAT),Physique theorique physique du solide
Sciences et Technologies de l'Eau (STE),Certains des enseignements en paralleles de la formation qui ne font pas partis du domaine scientifiques. 
Eau et Genie Civil (EGC - apprentissage),Aucun
Eau et Genie Civil (EGC - apprentissage),Tout reste utile mais les mathematiques sont peut-etre trop approfondies.
Microelectronique Et Automatique (MEA),Speech from SSII 'experts'. If these experts are same as in 2018/2019. They ruin salary expectations.
Informatique et Gestion (IG),Beaucoup de cours lie a la gestion peuvent en realite juge inutile dans un poste de developpeur web. Pour ma part je suis dans l'equipe finance donc quelques notions me sont utiles
Informatique et Gestion (IG),Compilation
Mecanique et Interactions (MI),Robotique toutes les SHES hors langues et Droit.
Materiaux (MAT),Espagnol
Genie Biologique et Agroalimentaires (GBA),Rien est inutile car la formation doit rester generaliste. 
Genie Biologique et Agroalimentaires (GBA),La communication 
Informatique et Gestion (IG),- Mathematiques de la decision et projet mathematiques de la decision - Sirh - Pas de choix de Lv2 (on a ete obliges de reprendre la Lv2 du bac. L'espagnol m'a ete totalement inutile si j'avais pu apprendre l'Allemand a la place ca m'aurait ete utile)
Genie Biologique et Agroalimentaires (GBA),Aucun (ou peut-etre la LV2 qui dans mon cas a ete vite oublie car non utilisation de la langue depuis)
Informatique et Gestion (IG),certains cours de gestion...
Mecanique et Interactions (MI),Personnellement les enseignements scientifiques purement theoriques tres complexes non couples a l'utilisation de logiciels me semblent inutiles car je ne pourrais jamais justifier leur apprentissage vis a vis de mon objectif de carriere.  Encore une fois cette reponse est personnelle cela depend des objectifs de chacun.
Systemes Embarques (SE - apprentissage),Tout est toujours bon a prendre mais celui qui m'a ete le moins utile meme si dans le cadre de la formation il reste pertinent c'est reseau 
Genie Biologique et Agroalimentaires (GBA),Process  Science des aliments  Microbio 
Eau et Genie Civil (EGC - apprentissage),Cours de biologie trop peu de personnes en font en entreprise et ne les utilisent pas directement. L'important c'est savoir quoi faire des donnees pas savoir a quoi ressemble telle ou telle bacterie... On est en ecole d'inge par apprentissage les postes sont definis il s'agirait de readapter les cours au type de formation. Nous nous rendons vite compte que les cours sont opposes a nos vie pro et par consequent perdons de l'interet en ces cours.
Mecanique et Interactions (MI),Communication
Eau et Genie Civil (EGC - apprentissage),S.O.
Materiaux (MAT),-
Mecanique Structures Industrielles (MSI - apprentissage),Aucun
Eau et Genie Civil (EGC - apprentissage),Aucun
Eau et Genie Civil (EGC - apprentissage),Aucun
Eau et Genie Civil (EGC - apprentissage),Aucun
Systemes Embarques (SE - apprentissage),RAS
Eau et Genie Civil (EGC - apprentissage),MATHS (NIVEAU 4 &5A) 
Eau et Genie Civil (EGC - apprentissage),GC
Materiaux (MAT),aucun 
Microelectronique Et Automatique (MEA),espagnol
Genie Biologique et Agroalimentaires (GBA),La Lv2 espagnol je m'explique. Je ne pense pas que la lv2 espagnol soit inutile au contraire je pense que c'est un cours tres important. Mais les cours proposes pendant mes annees d'etudes n'ont pas ete utile. Que ce soit le contenu ou les personnes qui intervenaient ce fut pour moi une deception.  En sortant du BAC j'estimais avoir un tres bon niveau en espagnol que j'ai perdu a force de ne pas le pratiquer. Les cours de Lv2 a Polytech ne m'ont pas permis de me rapprocher de ce niveau ou de reprendre gout a la pratique de cette langue.
Genie Biologique et Agroalimentaires (GBA),Aucun
Informatique et Gestion (IG),RAS
Systemes Embarques (SE - apprentissage), 
